== Parameters ==
2001_8: -3.85257, -3.40165, -3.788, -1.50003, -3.27155, -1.15563, -2.90536, -2.90628, -3.01589, -3.12866, -3.92974, -4.89753, -4.82098, -3.86355, -1.72496, -3.63979, -3.682, -4.88461, -2.82964, -3.61046, -3.6904, -3.83722, -3.16094, -1.81988, -4.02836, -3.85267, -2.01975, -2.8707, -2.22932, -4.04158, -2.7132, -3.63939, -4.87461, -3.94925, -3.95336, -3.18652, -4.08716, -3.33356, -3.6588, -1.95696, 
2013_3: -3.97519, -2.94206, -3.10038, -2.67697, -3.71357, -1.6067, -3.42725, -2.75427, -3.77956, -3.84894, -3.54297, -3.1647, -3.58581, -4.35482, -2.72501, -4.02555, -3.89627, -3.5107, -2.81587, -2.86476, -3.61269, -3.69598, -4.20453, -3.30766, -4.67256, -4.36438, -1.99372, -3.75729, -3.22143, -3.89863, -5.74261, -3.90698, -4.70854, -3.67804, -2.85214, -3.25332, -3.94115, -2.94401, -4.55393, -2.31186, 
2015_2: -4.64542, -2.78435, -4.48814, -2.86728, -3.19841, -1.88658, -3.30881, -2.64296, -3.00653, -3.61365, -2.84196, -6.16428, -3.00877, -3.89777, -2.4307, -4.03092, -3.21835, -3.13435, -2.74289, -2.84261, -3.70847, -4.41506, -3.44699, -3.37007, -3.40891, -3.76775, -2.35988, -2.69108, -2.72186, -4.46917, -3.63154, -5.06336, -4.49292, -2.76936, -2.31305, -3.37506, -3.4061, -3.34391, -3.63137, -2.07666, 
2006_2: -4.0423, -3.18179, -3.85774, -2.42234, -4.07394, -1.95682, -4.11853, -2.5806, -3.42953, -3.4897, -4.05954, -2.79138, -3.1352, -6.40019, -2.79008, -4.32457, -3.42325, -2.94046, -2.43459, -3.01124, -3.06831, -5.52167, -2.73076, -3.22091, -3.58971, -4.28479, -3.39977, -2.84495, -4.39045, -4.32841, -3.23712, -4.33746, -4.81419, -3.45339, -2.6377, -5.3343, -4.01775, -3.32004, -3.12799, -2.10331, 
1999_3: -3.14197, -3.86685, -3.66726, -2.30955, -3.81261, -1.55499, -3.30925, -3.58958, -2.94112, -3.45295, -4.54629, -1.72524, -2.67956, -3.63038, -2.07028, -3.9179, -3.3481, -2.69344, -2.18905, -2.57419, -2.73339, -3.20671, -2.94146, -2.81323, -3.07896, -3.86336, -2.42638, -2.89012, -3.41537, -4.30521, -3.02633, -3.48986, -3.59453, -3.37405, -3.21062, -3.50928, -2.85794, -3.01847, -3.23855, -1.99312, 
2010_8: -4.00248, -7.98685, -2.73909, -2.89351, -4.0438, -2.52035, -4.05181, -4.25529, -3.15547, -4.32903, -3.41377, -5.38449, -4.48271, -3.06102, -2.55365, -4.70806, -4.50522, -3.9119, -4.77598, -3.61616, -4.45143, -3.14411, -4.91696, -3.78766, -4.62364, -4.43111, -2.38955, -3.6448, -3.01982, -4.20558, -3.73445, -3.0298, -4.22438, -3.21281, -3.77925, -3.76811, -3.38895, -3.29665, -4.40892, -3.01675, 
2014_4: -4.1679, -3.34367, -3.67064, -2.66054, -3.72202, -1.9289, -3.42475, -2.93658, -3.88969, -3.42638, -3.58629, -3.40761, -3.90256, -4.39853, -2.18152, -3.77527, -3.33629, -3.02104, -3.31097, -2.6599, -3.32674, -3.53881, -3.27237, -3.06123, -3.88396, -4.63147, -2.0118, -3.84518, -3.17703, -4.00819, -4.30346, -4.47176, -6.82473, -2.90592, -2.5924, -3.55939, -3.93231, -2.47071, -3.41466, -2.69216, 
2017_1: -7.23269, -3.16182, -4.18787, -2.092, -3.34345, -1.8845, -3.41365, -2.45835, -3.48011, -3.23707, -2.28277, -3.80182, -3.27241, -2.75468, -1.80516, -4.22206, -3.86493, -3.55877, -2.81651, -3.13506, -3.49991, -4.38622, -3.55813, -2.75749, -3.45658, -3.32039, -2.3722, -2.83236, -2.39735, -4.13999, -4.05003, -4.48665, -3.27978, -2.46737, -2.56893, -3.34278, -3.88502, -3.5776, -3.35285, -2.2893, 
2014_3: -4.33842, -2.92015, -3.6771, -2.8053, -3.26735, -1.91307, -2.97577, -2.45633, -3.5019, -3.27186, -3.38591, -3.18537, -3.38056, -4.64017, -2.27956, -4.29034, -3.47986, -3.2252, -2.59593, -2.71289, -3.50303, -4.01491, -3.49987, -2.88622, -3.69474, -4.16356, -2.04803, -4.20633, -3.10908, -4.39945, -3.88571, -4.35799, -4.60853, -2.94385, -2.72077, -3.23211, -3.7374, -2.6286, -3.23257, -2.39399, 
1997_6: -2.44933, -7.13221, -2.54522, -2.49764, -3.26598, -1.56997, -2.86002, -2.94957, -3.11404, -2.88138, -3.09288, -2.29799, -3.03072, -3.31566, -2.12062, -4.51298, -4.01092, -3.397, -2.39597, -3.02082, -3.06025, -3.61389, -3.10976, -2.79003, -3.28906, -3.42359, -2.92623, -2.62216, -2.95612, -3.37996, -3.29775, -3.0504, -5.48101, -2.75461, -3.32761, -3.12801, -3.19258, -2.49278, -5.73849, -2.06446, 
