== Parameters ==
2005_0: -2.2546, -2.71239, -3.51376, -3.5491, -4.51854, -8.74322, -3.04761, -2.74794, -3.81962, -1.1078, -2.97505, -2.17437, -3.44503, -2.22437, -1.43794, -2.81033, -2.62213, -2.98555, -2.62098, -4.41078, -2.34201, -4.06339, -2.94821, -3.2306, -0.91422, -4.39346, -1.74717, -3.19023, -2.9196, -3.096, 
2008_7: -3.2397, -3.4859, -3.87145, -3.95573, -3.1083, -1.66462, -3.25911, -2.93709, -2.38265, -0.667146, -3.21158, -3.41998, -3.29201, -4.02511, -1.08823, -2.54082, -3.6839, -3.9199, -4.28958, -3.5843, -2.02278, -3.03338, -2.18114, -3.41037, -1.3049, -3.66466, -3.15661, -3.0255, -3.31758, -3.72929, 
2004_6: -2.75771, -2.52888, -2.81041, -2.47199, -2.57518, -1.91588, -2.71982, -1.462, -1.27003, -1.1917, -2.55127, -1.68915, -2.78617, -2.00262, -1.54823, -1.86484, -2.01639, -1.95655, -2.51794, -2.54814, -0.649346, -6.39396, -1.57755, -4.03204, -1.69134, -4.17297, -2.36694, -2.3258, -3.80531, -2.074, 
2003_8: -4.84019, -2.88197, -3.75168, -2.65954, -2.72273, -2.60488, -2.71636, -2.18321, -2.21008, -1.55277, -3.01163, -3.93096, -4.48334, -2.86196, 0.136058, -1.94884, -1.98302, -2.18841, -2.64988, -3.2289, -2.54391, -2.17466, -2.20653, -1.42108, -2.76317, -7.24166, -4.55367, -2.38092, -2.55593, -4.12272, 
2007_3: -2.92445, -3.45339, -3.37855, -3.93046, -2.70821, -2.63086, -3.6559, -3.47082, -3.34509, -1.56522, -3.86991, -3.19221, -3.83419, -2.5773, -0.247854, -3.70379, -2.45548, -3.84995, -2.48234, -3.07105, -2.23418, -2.70926, -2.19225, -3.20755, -1.02836, -3.29139, -2.26625, -3.48596, -2.96337, -4.07615, 
2006_7: -4.86829, -3.0773, -3.42533, -3.20294, -3.15898, -2.42565, -3.1971, -2.28208, -2.3081, -0.837057, -3.01244, -4.14838, -4.39926, -9.23734, -1.65201, -2.13454, -2.90097, -2.82937, -3.48788, -3.20793, -1.98708, -3.26678, -2.03053, -2.19455, -1.19396, -3.60098, -2.56127, -3.25311, -2.96001, -3.73276, 
2012_1: -3.53133, -2.81074, -2.47403, -2.69882, -2.18532, -2.0641, -3.97839, -3.01761, -4.21684, -1.13477, -3.61291, -4.03718, -3.89881, -2.97769, -0.958125, -2.71694, -3.00022, -2.61781, -2.41309, -3.08537, -2.02747, -2.10497, -1.83361, -2.27576, -1.60899, -2.83881, -2.37101, -3.15428, -3.68269, -3.49341, 
2008_4: -2.95802, -4.96978, -3.54572, -4.66955, -2.21655, -1.13175, -3.68508, -3.37884, -2.94582, -0.902106, -3.8247, -3.56982, -5.56708, -2.98692, -0.707427, -3.30749, -3.1396, -2.80483, -4.42922, -3.355, -2.28244, -3.04982, -1.85496, -2.16, -1.11914, -3.89246, -2.20138, -2.77889, -3.24246, -3.43918, 
2012_5: -2.86853, -4.03267, -3.75939, -3.30087, -2.97989, -2.31804, -3.67085, -2.99081, -2.37269, -1.08294, -3.21713, -4.62703, -4.15668, -3.58526, -0.834226, -4.05403, -4.17604, -2.02565, -3.23071, -3.25157, -2.53438, -2.35457, -2.61081, -1.79245, -2.56961, -3.25137, -2.64371, -2.76583, -3.92111, -2.90048, 
2011_7: -3.20917, -3.62539, -2.9951, -4.01605, -2.48662, -3.33582, -3.28248, -3.55637, -2.16293, -1.1006, -3.42753, -3.59733, -3.42636, -4.55098, -1.04516, -3.01787, -4.43156, -5.40057, -4.80519, -2.49914, -2.0182, -3.73066, -2.67492, -3.52311, -1.00581, -3.46884, -1.234, -2.19881, -2.38418, -3.48939, 
2009_1: -3.57193, -3.23253, -2.84638, -3.67758, -1.50971, -2.42555, -3.00985, -3.34241, -3.10931, -0.463288, -4.43808, -2.41193, -3.36942, -2.05868, -1.40247, -2.60491, -3.03884, -2.74963, -4.06977, -3.6167, -2.70272, -4.05513, -2.05046, -1.53371, -1.20761, -2.93732, -3.72107, -2.65171, -3.57778, -2.77661, 
2010_5: -4.20061, -3.64352, -2.99447, -3.64779, -2.78958, -2.13966, -3.50152, -3.73835, -2.56975, -1.05519, -3.91523, -3.43503, -3.09627, -4.35343, -1.42816, -3.03829, -3.60712, -2.84422, -3.2239, -3.01914, -1.85714, -1.9682, -2.15649, -3.20098, -1.39551, -3.35728, -2.97059, -3.32253, -2.3066, -2.85386, 
2016_7: -2.37356, -5.42414, -2.01706, -3.71958, -3.06885, -3.63113, -3.08362, -4.0109, -2.49793, -0.8575, -3.81323, -3.80194, -5.00944, -3.82916, -1.03042, -3.31904, -2.79389, -1.97605, -5.40693, -4.17971, -2.67213, -2.92084, -1.99566, -2.81151, -1.56934, -3.33915, -1.63694, -2.65431, -3.28945, -1.82223, 
2017_7: -2.43772, -2.95045, -2.17422, -3.07787, -3.80738, -4.34755, -3.28617, -3.55965, -3.19894, -1.20629, -3.04915, -4.48298, -3.76219, -2.98507, -1.23049, -3.40114, -3.15731, -2.34884, -3.44284, -2.32225, -2.32985, -3.02341, -4.11183, -3.57307, -2.58876, -2.22468, -2.52775, -2.55572, -3.99701, -2.8368, 
2002_6: -1.98999, -2.07534, -2.28857, -1.90937, -3.75227, -3.574, -5.62144, -1.57866, -1.57722, -1.14363, -3.89188, -1.62524, -6.28569, -1.24311, -0.34255, -1.72812, -2.14143, -1.85059, -2.34737, -1.82784, -2.07415, -1.12512, -1.60394, -1.62348, -1.7531, -8.01089, -1.58152, -1.86632, -3.86763, -2.29016, 
2009_3: -3.06741, -3.49349, -3.3266, -4.25029, -2.08231, -2.32341, -3.40926, -2.87914, -3.45273, -1.13674, -3.67777, -3.58087, -4.50057, -4.45543, -0.6434, -1.98151, -3.15755, -3.13138, -4.06143, -4.37559, -2.67405, -2.85165, -1.38313, -3.03169, -1.17445, -3.36299, -2.84447, -3.62544, -3.35849, -3.7265, 
2015_4: -3.78058, -3.2116, -2.36896, -3.80773, -2.55959, -2.72482, -3.14998, -5.02518, -3.36795, -0.97781, -3.62392, -4.71723, -3.15818, -3.8365, -0.852221, -2.76123, -3.25636, -2.42388, -3.359, -2.46183, -1.65193, -2.74085, -1.75226, -2.87392, -1.96738, -4.20255, -2.31307, -2.07824, -2.78607, -3.07409, 
2005_6: -3.655, -3.10505, -3.29862, -2.97475, -2.87985, -1.56901, -4.39665, -4.32811, -1.04689, -0.805507, -2.28533, -3.21288, -2.8601, -2.37285, -0.678775, -2.29274, -2.97232, -3.10525, -3.01731, -3.32972, -3.13032, -2.09559, -2.15915, -2.80533, -1.46657, -3.52581, -2.29264, -2.67735, -2.8942, -2.99026, 
2009_0: -4.05031, -2.53141, -3.67835, -4.57127, -1.92546, -1.85282, -3.16293, -2.64077, -3.57744, -1.18084, -4.09709, -3.51417, -3.14293, -2.04328, -1.26966, -2.32358, -3.65409, -3.218, -3.40032, -3.93316, -1.8298, -2.13889, -1.56326, -3.26263, -0.801808, -3.97244, -1.69714, -4.35841, -2.22603, -4.22372, 
2016_6: -2.51577, -3.4325, -2.22858, -3.54849, -1.75227, -3.8138, -4.38941, -4.38168, -2.5009, -4.16784, -2.67512, -3.33888, -3.49297, -4.33916, -0.583764, -4.25713, -3.61782, -2.40665, -7.35341, -1.8429, -2.81513, -2.99387, -1.41433, -2.99457, -1.49673, -2.64661, -1.34117, -2.9294, -3.40306, -2.17676, 
2005_2: -3.3204, -2.64398, -4.65347, -2.9038, -1.84775, -2.07881, -3.76287, -3.14088, -2.90499, -1.02288, -3.53896, -3.02894, -2.73932, -2.85882, -2.05208, -1.74808, -2.65758, -2.73737, -3.58396, -3.50279, -1.07631, -2.26848, -3.11006, -2.87259, -1.0823, -3.34259, -6.8762, -3.99683, -3.42177, -3.42268, 
2003_1: -1.25034, -3.62061, -1.91428, -3.85713, -1.16584, -2.0435, -2.60595, -1.24288, -2.32495, -1.30191, -2.46155, -3.74975, -6.1914, -1.88305, -1.53573, -2.10799, -1.78265, -1.27863, -2.64431, -2.64801, -1.06588, -1.49725, -1.97556, -2.79604, -0.0943569, -1.98634, -1.12398, -1.55418, -2.59809, -6.6391, 
